STARTTID;SLUTTID;PRISOMRÅDE;FORBRUKSGRUPPE;VOLUM_KWH;ANTALL_MÅLEPUNKT
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO1;Tertiære Tjenester;742019,042;96213
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO2;Hytter og fritidseiendommer;49517,459;106610
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO2;Husholdning;651034,552;634331
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO2;Primær Industri;71611,202;5761
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO2;Sekundær Industri;2057563,192;12574
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO2;Tertiære Tjenester;426971,905;70977
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO3;Hytter og fritidseiendommer;33654,003;62802
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO3;Husholdning;478323,814;412172
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO3;Primær Industri;82512,856;10290
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO3;Sekundær Industri;1652735,653;9243
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO3;Tertiære Tjenester;369658,151;52404
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO4;Hytter og fritidseiendommer;26554,525;44167
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO4;Husholdning;309252,840;245817
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO4;Primær Industri;58685,177;3977
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO4;Sekundær Industri;1114043,801;6125
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO4;Tertiære Tjenester;295843,192;40302
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO5;Hytter og fritidseiendommer;30501,235;48405
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO5;Husholdning;286799,614;260411
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO5;Primær Industri;11888,846;1953
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO5;Sekundær Industri;1055331,771;5019
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO5;Tertiære Tjenester;190798,770;27954
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO1;Hytter og fritidseiendommer;58431,611;110801
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO1;Husholdning;995069,897;1122291
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO1;Primær Industri;35300,137;7482
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO1;Sekundær Industri;458223,389;15107
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO1;Tertiære Tjenester;742453,507;96213
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO2;Hytter og fritidseiendommer;49348,032;106610
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO2;Husholdning;637348,205;634331
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO2;Primær Industri;81774,890;5761
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO2;Sekundær Industri;2052247,380;12574
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO2;Tertiære Tjenester;428187,671;70977
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO3;Hytter og fritidseiendommer;33749,878;62802
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO3;Husholdning;470883,608;412172
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO3;Primær Industri;84623,488;10290
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO3;Sekundær Industri;1657210,142;9243
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO3;Tertiære Tjenester;369615,260;52404
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO4;Hytter og fritidseiendommer;26748,723;44167
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO4;Husholdning;306911,552;245817
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO4;Primær Industri;58408,032;3977
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO4;Sekundær Industri;1125514,521;6125
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO4;Tertiære Tjenester;297044,401;40302
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO5;Hytter og fritidseiendommer;30657,763;48405
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO5;Husholdning;283727,580;260411
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO5;Primær Industri;11917,872;1953
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO5;Sekundær Industri;1052418,152;5019
2026-09-13T04:00:00+02:00;2026-09-13T05:00:00+02:00;NO5;Tertiære Tjenester;192047,358;27954
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO1;Hytter og fritidseiendommer;59205,435;110801
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO1;Husholdning;984713,608;1122291
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO1;Primær Industri;37255,960;7482
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO1;Sekundær Industri;460403,466;15107
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO1;Tertiære Tjenester;755232,722;96213
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO2;Hytter og fritidseiendommer;49826,894;106610
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO2;Husholdning;631430,108;634331
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO2;Primær Industri;85640,248;5761
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO2;Sekundær Industri;2044386,312;12574
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO2;Tertiære Tjenester;434664,733;70977
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO3;Hytter og fritidseiendommer;34188,484;62802
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO3;Husholdning;467524,032;412172
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO3;Primær Industri;86252,021;10290
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO3;Sekundær Industri;1655590,495;9243
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO3;Tertiære Tjenester;372353,001;52404
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO4;Hytter og fritidseiendommer;27193,814;44167
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO4;Husholdning;307827,504;245817
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO4;Primær Industri;58860,478;3977
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO4;Sekundær Industri;1125903,404;6125
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO4;Tertiære Tjenester;297778,094;40302
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO5;Hytter og fritidseiendommer;31178,528;48405
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO5;Husholdning;283692,373;260411
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO5;Primær Industri;12102,775;1953
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO5;Sekundær Industri;1052438,926;5019
2026-09-13T05:00:00+02:00;2026-09-13T06:00:00+02:00;NO5;Tertiære Tjenester;197742,649;27954
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO1;Hytter og fritidseiendommer;60771,904;110801
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO1;Husholdning;996505,083;1122291
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO1;Primær Industri;39081,728;7482
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO1;Sekundær Industri;470054,392;15107
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO1;Tertiære Tjenester;774062,143;96213
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO2;Hytter og fritidseiendommer;51303,827;106610
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO2;Husholdning;640673,524;634331
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO2;Primær Industri;90392,159;5761
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO2;Sekundær Industri;2050270,652;12574
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO2;Tertiære Tjenester;444657,734;70977
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO3;Hytter og fritidseiendommer;34796,010;62802
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO3;Husholdning;471878,019;412172
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO3;Primær Industri;89041,549;10290
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO3;Sekundær Industri;1664897,178;9243
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO3;Tertiære Tjenester;381881,259;52404
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO4;Hytter og fritidseiendommer;27735,352;44167
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO4;Husholdning;311214,557;245817
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO4;Primær Industri;59980,474;3977
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO4;Sekundær Industri;1143516,194;6125
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO4;Tertiære Tjenester;297786,216;40302
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO5;Hytter og fritidseiendommer;31909,266;48405
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO5;Husholdning;286445,972;260411
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO5;Primær Industri;12730,885;1953
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO5;Sekundær Industri;1053912,411;5019
